type,title,description,published,link
avis,Multiples vulnérabilités dans les produits Qnap (10 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Qnap. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.","Tue, 10 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0486/
avis,Vulnérabilité dans Elastic Kibana (11 juin 2025),Une vulnérabilité a été découverte dans Elastic Kibana. Elle permet à un attaquant de provoquer un contournement de la politique de sécurité.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0494/
avis,Multiples vulnérabilités dans les produits Adobe (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Adobe. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une élévation de privilèges et un déni de service à distance.","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0495/
avis,Multiples vulnérabilités dans les produits Fortinet (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Fortinet. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0496/
avis,Vulnérabilité dans les processeurs Intel (11 juin 2025),Une vulnérabilité a été découverte dans les processeurs Intel. Elle permet à un attaquant de provoquer un déni de service.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0497/
avis,Vulnérabilité dans Stormshield Network Security (11 juin 2025),Une vulnérabilité a été découverte dans Stormshield Network Security. Elle permet à un attaquant de provoquer un déni de service à distance.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0488/
avis,Multiples vulnérabilités dans les produits Centreon (11 juin 2025),De multiples vulnérabilités ont été découvertes dans les produits Centreon. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et un problème de sécurité non spécifié par l'éditeur.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0493/
avis,Multiples vulnérabilités dans Google Chrome (11 juin 2025),De multiples vulnérabilités ont été découvertes dans Google Chrome. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0489/
avis,Multiples vulnérabilités dans les produits Siemens (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Siemens. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0492/
avis,Multiples vulnérabilités dans les produits Mozilla (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Mozilla. Certaines d'entre elles permettent à un attaquant de provoquer un déni de service à distance, une atteinte à la confidentialité des données et un problème de sécurité non spécifié par l'éditeur.","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0491/
avis,Multiples vulnérabilités dans les produits SAP (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits SAP. Certaines d'entre elles permettent à un attaquant de provoquer une atteinte à la confidentialité des données, une atteinte à l'intégrité des données et une falsification de requêtes côté serveur (SSRF).","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0487/
avis,Multiples vulnérabilités dans Ivanti Workspace Control (IWC) (11 juin 2025),De multiples vulnérabilités ont été découvertes dans Ivanti Workspace Control (IWC). Elles permettent à un attaquant de provoquer une atteinte à la confidentialité des données.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0490/
avis,Multiples vulnérabilités dans Microsoft Office (11 juin 2025),De multiples vulnérabilités ont été découvertes dans Microsoft Office. Elles permettent à un attaquant de provoquer une exécution de code arbitraire.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0498/
avis,Multiples vulnérabilités dans Microsoft Windows (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans Microsoft Windows. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance. Microsoft indique que la vulnérabilité CVE-2025-33053...","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0499/
avis,Vulnérabilité dans Microsoft .Net (11 juin 2025),Une vulnérabilité a été découverte dans Microsoft .Net. Elle permet à un attaquant de provoquer une exécution de code arbitraire à distance.,"Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0500/
avis,Multiples vulnérabilités dans les produits Microsoft (11 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Microsoft. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un contournement de la politique de sécurité.","Wed, 11 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0501/
avis,Multiples vulnérabilités dans GitLab (12 juin 2025),"De multiples vulnérabilités ont été découvertes dans GitLab. Certaines d'entre elles permettent à un attaquant de provoquer un déni de service à distance, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.","Thu, 12 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0502/
avis,Multiples vulnérabilités dans les produits Mitel (12 juin 2025),Une vulnérabilité a été découverte dans les produits Mitel. Elle permet à un attaquant de provoquer une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.,"Thu, 12 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0503/
avis,Vulnérabilité dans les produits Moxa (12 juin 2025),Une vulnérabilité a été découverte dans les produits Moxa. Elle permet à un attaquant de provoquer un déni de service à distance.,"Thu, 12 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0504/
avis,Multiples vulnérabilités dans les produits Palo Alto Networks (12 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un contournement de la politique de sécurité. Palo Alto Networks a...","Thu, 12 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0505/
avis,Vulnérabilité dans Spring Framework (13 juin 2025),Une vulnérabilité a été découverte dans Spring Framework. Elle permet à un attaquant de provoquer une exécution de code arbitraire à distance.,"Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0506/
avis,Multiples vulnérabilités dans Tenable Nessus Agent (13 juin 2025),De multiples vulnérabilités ont été découvertes dans Tenable Nessus Agent. Elles permettent à un attaquant de provoquer une élévation de privilèges et une atteinte à l'intégrité des données.,"Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0507/
avis,Multiples vulnérabilités dans les produits Splunk (13 juin 2025),De multiples vulnérabilités ont été découvertes dans les produits Splunk. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.,"Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0508/
avis,Multiples vulnérabilités dans le noyau Linux de SUSE (13 juin 2025),"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une élévation de privilèges et une atteinte à la confidentialité des données.","Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0509/
avis,Multiples vulnérabilités dans le noyau Linux de Red Hat (13 juin 2025),De multiples vulnérabilités ont été découvertes dans le noyau Linux de Red Hat. Elles permettent à un attaquant de provoquer une atteinte à la confidentialité des données et un déni de service.,"Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0510/
avis,Multiples vulnérabilités dans les produits Google (13 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits Google. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.","Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0511/
avis,Multiples vulnérabilités dans les produits IBM (13 juin 2025),"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.","Fri, 13 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0512/
avis,Multiples vulnérabilités dans Microsoft Edge (16 juin 2025),De multiples vulnérabilités ont été découvertes dans Microsoft Edge. Elles permettent à un attaquant de provoquer un problème de sécurité non spécifié par l'éditeur.,"Mon, 16 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0513/
avis,Vulnérabilité dans PostgreSQL JDBC (16 juin 2025),Une vulnérabilité a été découverte dans PostgreSQL JDBC. Elle permet à un attaquant de provoquer un contournement de la politique de sécurité.,"Mon, 16 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0514/
avis,Vulnérabilité dans Grafana (16 juin 2025),Une vulnérabilité a été découverte dans Grafana. Elle permet à un attaquant de provoquer une atteinte à la confidentialité des données.,"Mon, 16 Jun 2025 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0515/
alerte,Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),"\[MàJ du 31 octobre 2022\] Une preuve de concept est publiquement disponible. \[Publication initiale\] Dans le cadre de son *Patch Tuesday*, en date du 13 septembre 2022, Microsoft a indiqué l'existence de multiples vulnérabilités au sein de plusieurs versions de Windows. Trois d'entre elles...","Fri, 16 Sep 2022 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/
alerte,[MaJ] Multiples vulnérabilités dans Microsoft Exchange (30 septembre 2022),"\[Mise à jour du 09 novembre 2022\] L'éditeur a publié un correctif (cf. section solution). En date du 29 septembre 2022, Microsoft a indiqué l'existence de deux vulnérabilités, de type zéro-jour, au sein de Windows Exchange 2013, 2016 et 2019. Ces vulnérabilités sont les suivantes : -...","Fri, 30 Sep 2022 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/
alerte,Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),"Le 05 décembre 2022, trois vulnérabilités respectivement identifiées par les numéros CVE-2022-40259, CVE-2022-40242 et CVE-2022-2827 ont été signalées dans la solution d’administration à distance MegaRAC de l’éditeur AMI. La solution MegaRAC s’appuie sur un BMC (Baseboard Management Controller) :...","Fri, 16 Dec 2022 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/
alerte,[MàJ] Campagne d'exploitation d'une vulnérabilité affectant VMware ESXi (03 février 2023),\[Mise à jour du 10 février 2023\] Une nouvelle vague d’attaque démarrée le 8 février change la méthode de chiffrement permettant de chiffrer un plus grand volume de données dans les fichiers de grande taille rendant la restauration des données plus difficile voire impossible. \[Mise à jour du 05...,"Fri, 03 Feb 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-015/
alerte,Vulnérabilité dans Fortinet FortiOS (14 mars 2023),"Le 07 mars 2023, Fortinet a publié un avis de sécurité détaillant l’existence d’une vulnérabilité de type traversée de chemin (*path traversal*) permettant à un attaquant authentifié avec un compte à privilèges de lire et d'écrire des fichiers arbitrairement au travers de l'interface en ligne de...","Tue, 14 Mar 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-001/
alerte,[MàJ] Vulnérabilité dans Microsoft Outlook (15 mars 2023),\[mise à jour du 11 mai 2023\] Possibilité de contournement du correctif proposé par l'éditeur par le biais de la CVE-2023-29324 \[mise à jour du 20 avril 2023\] clarification de la recommandation pour le filtrage du flux SMB \[mise à jour du 29 mars 2023\] complément d'information et...,"Wed, 15 Mar 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-002/
alerte,[MàJ] Compromission de l'application 3CX Desktop App (31 mars 2023),"Le 30 mars 2023, l'éditeur a publié un communiqué concernant la compromission de leur application de bureau 3CX (*3CX Desktop App*). Cette application de conférence vocale et vidéo, dans certaines versions, est infectée par un cheval de Troie qui rend possible le déploiement d'une charge utile à...","Fri, 31 Mar 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-003/
alerte,Vulnérabilité dans les produits Fortinet (13 juin 2023),"Le 12 juin 2023, Fortinet a publié un avis de sécurité concernant la vulnérabilité CVE-2023-27997. Celle-ci permet à un attaquant non authentifié d'exécuter du code arbitraire à distance sur des produits Fortinet qui proposent une fonctionnalité de *VPN SSL*. Dans une communication supplémentaire...","Tue, 13 Jun 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/
alerte,Synthèse sur l'exploitation d'une vulnérabilité dans MOVEit Transfer (05 juillet 2023),"La découverte d'une vulnérabilité affectant le logiciel MOVEit Transfer de Progress Software, le 31 mai 2023, avait conduit le CERT-FR à publier des éléments d'information dans le bulletin d'actualité CERTFR-2023-ACT-025. L'objet de cette alerte CERTFR-2023-ALE-005 est de faire le point sur...","Wed, 05 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-005/
alerte,Vulnérabilité dans les produits Microsoft (12 juillet 2023),"Dans le cadre de son *Patch Tuesday*, en date du 11 juillet 2023, Microsoft a indiqué l'existence d'une vulnérabilité référencée CVE-2023-36884 \[1\] au sein de plusieurs versions de Windows et produits Office. Un score CVSSv3 de 8.3 lui a été attribué. L'éditeur confirme qu'elle est activement...","Wed, 12 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/
alerte,[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),"\[Mise à jour du 26 juillet 2023\] Publication du correctif de sécurité par l'éditeur Le 26 juillet 2023, l'éditeur a publié un correctif de sécurité \[1\] pour cette vulnérabilité immatriculée CVE-2023-37580. Il est donc fortement recommandé de déployer le correctif P41 pour toutes les versions...","Mon, 17 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/
alerte,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),"Le 18 juillet 2023, Citrix a publié un avis de sécurité concernant plusieurs vulnérabilités. La plus critique, dont l'identifiant CVE est CVE-2023-3519, permet à un attaquant non authentifié d'exécuter du code arbitraire à distance. L'équipement est vulnérable s'il est configuré en tant que...","Wed, 19 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/
alerte,[MàJ] Multiples vulnérabilités dans Ivanti Endpoint Manager Mobile (26 juillet 2023),"\[Mise à jour du 15 septembre 2023\] Correction de la vulnérabilité CVE-2023-35082 Le 21 août 2023, l'éditeur a publié une mise à jour du bulletin complémentaire de sécurité \[3\] pour annoncer la disponibilité d'un correctif concernant la vulnérabilité CVE-2023-35082. Ce correctif est inclus...","Wed, 26 Jul 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-009/
alerte,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...","Mon, 02 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/
alerte,[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),\[Mise à jour du 02 novembre 2023\] La version 17.3.8a est disponible. \[Mise à jour du 31 octobre 2023\] Les détails techniques de la vulnérabilité CVE-2023-20198 sont désormais disponibles publiquement. Cette vulnérabilité était déjà massivement exploitée. Tous les équipements exposant...,"Tue, 17 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/
alerte,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),"\[Mise à jour du 22 novembre 2023\] L'éditeur a publié un document \[3\] le 20 novembre 2023 listant les différents journaux à analyser ainsi que les éléments à rechercher pour identifier une activité pouvant être liée à une compromission. Par ailleurs, la CISA a publié un avis de sécurité le 21...","Mon, 23 Oct 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/
alerte,Vulnérabilité dans Apache Struts 2 (13 décembre 2023),"Le 4 décembre 2023, Apache a publié un avis de sécurité concernant la vulnérabilité critique CVE-2023-50164 concernant le cadriciel Struts 2. Cette vulnérabilité permet à un attaquant non authentifié de téléverser une porte dérobée sur un serveur vulnérable, et ainsi exécuter du code arbitraire à...","Wed, 13 Dec 2023 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/
alerte,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...","Thu, 11 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/
alerte,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),"\[Mise à jour du 29 janvier 2024\] Le 25 janvier 2024, l'éditeur a publié un avis de sécurité concernant plusieurs vulnérabilités affectant GitLab CE et EE. La vulnérabilité CVE-2024-0402 est considérée critique avec un score CVSSv3 de 9,9. Elle permet à un attaquant authentifié d'écrire des...","Fri, 12 Jan 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/
alerte,[MàJ] Incident affectant les solutions AnyDesk (05 février 2024),\[Mise à jour du 27 février 2024\] Le 29 janvier 2024 l'ANSSI a été alertée par le BSI que l'éditeur AnyDesk Software GmbH a été victime d'une fuite de données. Le code source des applications développées par l'éditeur ainsi que des certificats et clés privées pourraient avoir été dérobés. De...,"Mon, 05 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-003/
alerte,[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),"\[Mise à jour du 19 mars 2024\] Le CERT-FR a connaissance de codes d'exploitation publics et de nouvelles tentatives d'exploitation. Le 8 février 2024, Fortinet a publié l'avis de sécurité concernant la vulnérabilité critique CVE-2024-21762 affectant le VPN SSL de FortiOS. Cette vulnérabilité...","Fri, 09 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/
alerte,[MàJ] Vulnérabilité dans Microsoft Outlook (15 février 2024),\[Mise à jour du 15 mars 2024\] Ajout de précision concernant les défi-réponses NTLM \[Mise à jour du 22 février 2024\] Ajout de recommandations et de précisions sur le fonctionnement de la vulnérabilité. La vulnérabilité CVE-2024-21413 permet à un attaquant de contourner les mesures de sécurité...,"Thu, 15 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-005/
alerte,[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect (12 avril 2024),"\[Mise à jour du 10 mai 2024\] Le CERT-FR est intervenu pour le traitement d'une compromission par rançongiciel au sein d'une entité française. Dans le cadre de cette attaque, la vulnérabilité a été exploitée pour ensuite réaliser une latéralisation dans le système d'information de la victime et...","Fri, 12 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/
alerte,Multiples vulnérabilités dans les produits Cisco (25 avril 2024),"Le 24 avril 2024, Cisco a publié trois avis de sécurité concernant des vulnérabilités affectant les équipements de sécurité ASA et FTD. Deux d'entre eux concernent les vulnérabilités CVE-2024-20353 et CVE-2024-20359 qui sont activement exploitées dans le cadre d'attaques ciblées. La vulnérabilité...","Thu, 25 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/
alerte,[MàJ] Vulnérabilité dans les produits Check Point  (30 mai 2024),"[Mise à jour du 31 mai 2024] Des preuves de concept sont désormais disponibles publiquement sur Internet. De plus, l'éditeur indique avoir détecté des tentatives de compromission à partir du 7 avril 2024. **[Publication Initiale]** Une vulnérabilité a été découverte dans les produits Check Point....","Thu, 30 May 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/
alerte,Vulnérabilité dans OpenSSH (01 juillet 2024),"Le 1 juillet 2024, OpenSSH a publié un avis de sécurité concernant la vulnérabilité critique CVE-2024-6387. Cette vulnérabilité permet à un attaquant non authentifié d'exécuter du code arbitraire à distance avec les privilèges *root*. L'éditeur précise que les versions 8.5p1 à 9.7p1 sont...","Mon, 01 Jul 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/
alerte,Multiples vulnérabilités dans Roundcube (09 août 2024),"Le 4 août 2024, Roundcube a publié des correctifs concernant les vulnérabilités critiques CVE-2024-42008 et CVE-2024-42009 affectant son serveur de courriel. Ces vulnérabilités permettent des injections de code indirectes à distance (XSS) qui peuvent, par exemple, conduire à la récupération du...","Fri, 09 Aug 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/
alerte,Vulnérabilité dans SonicWall (10 septembre 2024),"Le 22 août 2024, Sonicwall a publié un correctif concernant la vulnérabilité critique CVE-2024-40766 affectant les pare-feux Sonicwall génération 5, 6 et 7. Cette vulnérabilité, de type contrôle d'accès défaillant, permet à un attaquant de provoquer un déni de service à distance, une atteinte à...","Tue, 10 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/
alerte,[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"**[Mise à jour du 10 octobre 2024]** Le 28 septembre 2024, Elastic Security Labs a publié des règles de détection au format propriétaire de l'éditeur (cf. section Documentation), qui sont confirmées par les analyses du CERT-FR pour la détection des attaques connues. **[Publication initiale]** De...","Fri, 27 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/
alerte,Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),"Ivanti a publié plusieurs avis de sécurité sur des vulnérabilités affectant CSA qui sont activement exploitées : * le 10 septembre 2024, Ivanti a publié un avis de sécurité concernant la vulnérabilité CVE-2024-8190 qui permet à un attaquant, authentifié en tant qu'administrateur, d'exécuter du...","Tue, 22 Oct 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/
